file,topics,user_tasks,solved,needs_human,failure_category,missing_feature,feature_category,why_unsolved,improvement_needed,capabilities,success_patterns,demonstrated_skills,user_satisfaction_indicators,conversation_flow,escalation_triggers,error_patterns,user_emotion,conversation_complexity,feature_priority_score,improvement_effort
Acute Karate 4ff2238e0d--2025-05-29 12:26:12.610398--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Affable Sport 795040a475--2025-02-26 00:47:34.786516--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Abstract Git f979aca0cb--2025-03-30 19:40:57.996464--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Allegro Column 5ed9fe2898--2025-04-04 07:02:34.357468--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Acoustic Coordinate c2a102407c--2025-04-22 03:05:27.053518--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Abstract Vault 17f885e90d--2025-03-06 18:19:48.765735--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Abstract Overpass 7655f4c572--2025-05-06 16:29:04.192025--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Adagio Edge fb88cd7e3a--2025-03-19 04:42:29.516263--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Adagio Lumber 7ffd3d685b--2025-05-06 07:41:56.084939--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Agile Assistant 8a021217e3--2025-03-01 13:35:47.082492--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Acyclic Producer ccbd91cfba--2025-03-09 18:00:20.228853--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Acidic Root bc7de5ee1e--2025-03-09 11:31:47.499453--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Acute Light 5746f05a0b--2025-05-12 13:09:23.199863--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Acute Bright 1b233fabc7--2025-04-10 16:35:35.184914--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Achromatic Volcano 3566f8ffab--2025-04-26 21:09:31.789878--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Absolute Payment e61994a5a6--2025-04-23 16:57:01.203015--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Alternate Temple 1674cdb4b3--2025-06-03 14:49:00.432236--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Alternate Order 231f7428e8--2025-05-27 18:18:24.157883--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Ambitious Pitch dda489fbf5--2025-03-02 11:45:40.511419--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Ambitious Aqueduct 7b3d87bbfd--2025-06-02 08:40:01.208792--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Amicable Detail a4a1ed2b28--2025-03-18 07:27:15.685413--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
123--2025-07-25 22:03:27.126000--WEBCHAT.csv,"form-submission,user-feedback",no-user-request,False,False,incomplete-conversation,n/a,other,no-user-request-to-solve,no-improvement-needed-user-abandoned,bot-greeting-successful,bot-greeting-successful,greeting,conversation-initiated,bot-greeting; user-abandoned,user-abandoned-conversation,no-errors-detected,neutral,simple,1,low
111--2025-05-26 07:27:42.056464--WEBCHAT.csv,form-submission,complete form submission,True,False,other,no-missing-feature,other,no-user-request-to-solve,no-improvement-needed-user-abandoned,form-handling,form-completion-workflow,form-handling,user-completed-task,bot-greeting; form-submission,bot-solved-problem; user-satisfied,system-functioning-perfectly,neutral,simple,1,low
Abanoob--2025-08-07 23:17:35.847000--WEBCHAT.csv,form-submission,complete form submission,True,False,incomplete-conversation,no-missing-feature,other,no-user-request-to-solve,no-improvement-needed-user-abandoned,bot-handled-form-submission,form-completion-workflow,form-presentation,conversation-ended-positively,bot-greeting; form-presentation; user-abandoned,no-escalation-needed,system-functioning-perfectly,neutral,simple,1,low
Adam--2025-04-02 16:48:45.856512--WEBCHAT.csv,form-submission,complete form submission,True,False,other,no-missing-feature,other,no-user-request-to-solve,no-improvement-needed-user-abandoned,form-processing,form-completion-workflow,form-processing,user-completed-task,bot-greeting; form-completion,bot-solved-problem,system-functioning-perfectly,neutral,simple,1,low
Andante Neck 4652ec4796--2025-04-16 03:31:35.350074--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Andante Subset 8fe85e6f2f--2025-05-12 11:42:08.745970--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Absolute Batter b4c277d68d--2025-02-27 19:01:36.388691--WEBCHAT.csv,cancellation,cancel-service,False,True,feature-not-supported,cancellation-processing,account-management,bot-lacks-cancellation-capability,add-cancellation-processing-feature,greeting,bot-greeting-successful,greeting,conversation-initiated,bot-greeting; user-request,bot-cannot-process-cancellation,no-errors-detected,neutral,simple,4,medium
All Pique b0d83c856e--2025-03-03 15:43:30.713940--WEBCHAT.csv,cancellation,cancel-advertisement,False,True,feature-not-supported,ad-cancellation-system,campaign-control,user-provided-insufficient-information; bot-lacks-cancellation-capability,implement-ad-cancellation-workflow,basic-greeting,bot-greeting-successful,greeting,conversation-initiated,bot-greeting; user-abandoned,user-abandoned-conversation,no-errors-detected,neutral,simple,4,medium
11--2025-07-05 06:39:25.982000--WEBCHAT.csv,"event-management,event-deletion",delete event in Event Management,False,False,feature-not-supported,event deletion functionality,campaign-control,bot lacks capability to delete events in Event Management,implement event deletion feature in Event Management,policy-explanation; alternative-suggestion,policy-explanation; alternative-suggestion,policy-clarification; providing-alternatives,none,bot-greeting; user-request; bot-response,feature-not-supported,system-functioning-perfectly; no-technical-issues,neutral,simple,3,medium
Adventurous Glacier bac1210783--2025-02-27 15:30:55.884981--WEBCHAT.csv,cancellation-request,cancel-service,False,True,feature-not-supported,cancellation-processing,account-management,user-request-unclear; bot-lacks-cancellation-capability,add-cancellation-processing-feature,greeting,bot-greeting-successful,greeting,conversation-initiated,bot-greeting; user-abandoned,user-abandoned-conversation,no-errors-detected,neutral,simple,4,medium
Aarya--2025-04-06 15:00:42.013157--WEBCHAT.csv,"ad-review,business-verification",inquire-about-ad-review-status,False,True,requires-human,ad-review-status-check,campaign-control,bot-cannot-expedite-ad-review; requires-human-verification,integrate-ad-review-status-check,provided-explanation; offered-next-steps,clear-explanation-of-process; next-steps-provided,policy-explanation; next-step-guidance,,greeting; user-query; bot-explanation; next-steps,requires-human-verification,system-functioning-perfectly,frustrated,simple,4,medium
Albert--2025-03-28 05:20:47.458384--WEBCHAT.csv,"ad-review,support-contact",get-ad-ids-reviewed,True,False,bot-handled-perfectly,direct-ad-review-capability,campaign-control,no-user-request-to-solve,bot-handled-perfectly,provided-contact-information,clear-contact-information-provided,contact-information-provision,conversation-ended-positively,greeting; user-request; bot-response,bot-solved-problem,system-functioning-perfectly,neutral,simple,3,medium
Ameriyae Casburne--2025-03-08 06:12:31.698085--WEBCHAT.csv,"ad-credits,billing",apply for ad credits,True,False,other,no-missing-feature,other,no-user-request-to-solve,bot-handled-perfectly,step-by-step-guidance; resource-linking,clear-step-by-step-guidance; resource-linking,multi-step-instruction; resource-linking,user-request-fulfilled; conversation-ended-positively,greeting; user-request; solution-attempt; resolution,bot-solved-problem; user-satisfied; conversation-completed-successfully,system-functioning-perfectly; no-technical-issues,satisfied,simple,1,low
Aaron Chandler--2025-04-16 21:27:33.196644--WEBCHAT.csv,"api-access,account-permissions",generate API access token,False,True,requires-human,permission-management-system,account-management,user faced a permission issue preventing token generation,integrate permission management system to handle account setup issues,provided-step-by-step-instructions; offered-contact-information,clear-step-by-step-guidance,multi-step-instruction; policy-clarification,,greeting; problem-statement; solution-attempt; escalation-suggestion,account-specific-problem,no-technical-issues,frustrated,moderate,4,medium
Akshay Singh--2025-08-10 10:31:26.578000--WEBCHAT.csv,"ad-review,campaign-expedition",expedite ad review process,False,True,feature-not-supported,ad-review-expedition,campaign-control,bot lacks capability to expedite ad review process,implement-ad-review-expedition-feature,provided-alternative-contact-information,provided-contact-information,information-provision,user-thanked-bot,greeting; user-request; bot-response; user-acknowledgment,feature-not-supported,system-functioning-perfectly,neutral,simple,4,medium
Abhishek Patel--2025-03-23 08:12:56.594428--WEBCHAT.csv,"ad-campaign-activation,account-verification",activate ad campaign,True,False,other,no-missing-feature,other,no-user-request-to-solve,bot-handled-perfectly,verification-guidance; activation-instructions,clear-step-by-step-guidance; verification-process-explained,verification-guidance; activation-instructions,user-confirmed-completion,greeting; problem-statement; solution-attempt; resolution,bot-solved-problem; user-satisfied,system-functioning-perfectly; no-technical-issues,satisfied,simple,1,low
Animato Buffalo 056a41c2f5--2025-04-15 08:42:20.172038--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Affif--2025-04-20 22:59:53.437433--WEBCHAT.csv,"account-closure,ads-account",close ads account,False,True,feature-not-supported,ads-account-closure-procedure,account-management,bot lacks capability to close ads account; bot redirected user to email support,add ads account closure workflow or detailed instructions,provided-general-account-closure-info; redirected-to-support,initial-information-provision,information-redirection; general-account-guidance,none,greeting; user-request; bot-response; user-clarification; bot-redirection,bot-cannot-process-specific-request,no-technical-issues,frustrated,moderate,4,medium
Albert--2025-03-29 06:22:30.321654--WEBCHAT.csv,"postback-integration,clickbank,clickmagick",ensure postback is firing; integrate with ClickMagick,False,False,feature-not-supported,ClickMagick integration instructions,integration,bot lacks specific integration instructions for ClickMagick,add detailed integration instructions for ClickMagick,provided detailed instructions for ClickBank integration; identified user platform,clear-step-by-step-guidance; platform-identification,multi-step-instruction; platform-identification,conversation-ended-positively,greeting; problem-statement; information-gathering; solution-attempt,no-escalation-needed,system-functioning-perfectly; no-technical-issues,neutral,moderate,3,medium
Abdullah --2025-07-22 02:36:57.872000--WEBCHAT.csv,"ad-credit,business-verification,account-management",inquire-about-ad-credit-testing,True,False,other,no-missing-feature,other,no-user-request-to-solve,bot-handled-perfectly,information-provision; policy-explanation,policy-explanation,policy-clarification,user-did-not-express-dissatisfaction,greeting; user-inquiry; information-provision,bot-solved-problem; user-satisfied,system-functioning-perfectly; no-technical-issues,neutral,simple,1,low
Agustin Herebia--2025-03-12 19:00:47.995606--WEBCHAT.csv,"postback-integration,clickflare,event-management",set up a new event through a postback using Clickflare,True,False,other,postback-timing-adjustment,integration,no-user-request-to-solve,bot-handled-perfectly,provided-integration-steps; offered-alternative-solutions,clear-step-by-step-guidance; alternative-solution-suggestion,integration-guidance; problem-solving,user-agreed-to-try-solution; user-thanked-bot,greeting; problem-statement; solution-attempt; resolution,no-escalation-needed,system-functioning-perfectly; no-technical-issues,satisfied,moderate,3,medium
Ali Hassan--2025-03-27 23:53:38.500877--WEBCHAT.csv,"contact-support,email-information",reach-out-to-newsbreak-representative,True,False,other,live-chat-escalation,account-management,no-user-request-to-solve,bot-handled-perfectly,provided-contact-information,clear-contact-information,information-provision,conversation-ended-positively,greeting; user-query; information-provision,bot-solved-problem; user-satisfied,system-functioning-perfectly,satisfied,simple,1,low
1--2025-05-05 20:53:09.293057--WEBCHAT.csv,"billing,credit-card-authorization",understand credit card authorization process,True,False,other,no-missing-feature,other,no-user-request-to-solve,bot-handled-perfectly,clear-explanation; billing-policy-clarification,policy-explanation; clear-communication,policy-clarification; billing-explanation,user-received-information-requested,bot-greeting; user-question; bot-explanation,bot-solved-problem; user-satisfied,system-functioning-perfectly; no-technical-issues,neutral,simple,1,low
Aminata Diallo--2025-05-05 03:58:16.632318--WEBCHAT.csv,"ad-campaign,account-verification,live-agent-request",resolve ad campaign issue; contact live agent,False,True,feature-not-supported,live-chat-connection,campaign-control,user requested live agent; bot unable to provide direct live chat,integrate live chat support feature,information-gathering; verification-guidance,information-gathering,information-gathering; verification-guidance,,greeting; problem-statement; information-gathering; live-agent-request,user-requested-live-agent,no-technical-issues,frustrated,moderate,4,medium
Absolute Nest 823db93d4f--2025-02-27 12:42:50.018826--WEBCHAT.csv,"ad-approval,human-escalation,account-verification",cancel request; talk to human; approve ads,False,True,requires-human,ad approval capability,campaign-control,bot cannot approve ads; account verification required,integrate ad approval workflow,escalation-to-human; status-checking,escalation-to-human,escalation-handling; status-checking,user-expressed-gratitude,greeting; problem-statement; escalation; human-intervention,ad-approval-delay; account-verification-needed,no-technical-issues,frustrated,moderate,4,medium
Aaron Gosling--2025-04-01 21:20:26.768855--WEBCHAT.csv,"ad-credits,affiliate-program,business-verification",claim $2000 ad credits,True,False,other,direct-claim-process-for-ad-credits,campaign-control,no-user-request-to-solve,bot-handled-perfectly,provided-clear-instructions; link-to-schedule-call,clear-step-by-step-guidance,policy-clarification; link-provision,user-received-instructions,greeting; user-query; solution-provided,bot-solved-problem; user-satisfied,system-functioning-perfectly; no-technical-issues,neutral,simple,2,medium
Aaron Gosling--2025-04-01 14:06:23.955888--WEBCHAT.csv,"ad-credit,account-issues,support-escalation",claim ad credit; resolve account issues,False,True,requires-human,direct-account-management,account-management,requires-human-intervention; bot-cannot-resolve-account-issues,integrate direct account management capabilities or streamline escalation process,information-provision; support-escalation,information-provision; support-escalation,information-provision; support-escalation,user-acknowledged-escalation,greeting; problem-statement; information-gathering; support-escalation,account-specific-problem,no-technical-issues,neutral,moderate,4,medium
Alex--2025-07-17 22:59:33.001000--WEBCHAT.csv,"conversion-tracking,postback-setup,redtrack-integration",resolve conversion attribution issue,False,True,requires-human,access-to-internal-logs,technical-support,bot cannot access logs on NewsBreak's side; user requested human assistance,enable-bot-to-access-internal-logs-or-directly-connect-to-human-support,provided-troubleshooting-guidance; shared-helpful-resources,provided-relevant-guides; attempted-to-troubleshoot,troubleshooting-guidance; resource-sharing,user-requested-human-assistance,greeting; problem-statement; troubleshooting-guidance; request-for-human-assistance,bot-cannot-access-system,system-functioning-perfectly; no-technical-issues,frustrated,moderate,4,medium
Alexander Klee--2025-07-22 11:15:04.723000--WEBCHAT.csv,"billing-verification,payment-failure,refund-process",understand billing verification fee; resolve payment failure; inquire about refund timeline,True,False,other,direct-payment-resolution,billing,no-user-request-to-solve,bot-handled-perfectly,clear-explanation-of-billing; refund-policy-clarification,policy-explanation; refund-process-clarification,billing-explanation; refund-policy-clarification,user-continued-conversation; user-received-information,greeting; billing-inquiry; payment-issue; refund-inquiry,bot-solved-problem; user-satisfied,system-functioning-perfectly; no-technical-issues,neutral,moderate,2,medium
Agustin Herebia--2025-07-23 12:25:02.841000--WEBCHAT.csv,"invoice-request,credit-line-requirements",request additional invoice; inquire about credit line requirements,True,False,bot-handled-perfectly,invoice-generation,billing,no-user-request-to-solve,bot-handled-perfectly,information-provision; guidance-on-next-steps,clear-step-by-step-guidance,policy-clarification; multi-step-instruction,conversation-ended-positively,greeting; invoice-request; credit-line-inquiry; guidance-provided,bot-solved-problem; user-satisfied,system-functioning-perfectly; no-technical-issues,neutral,moderate,3,medium
Amanda--2025-08-14 22:54:44.818000--WEBCHAT.csv,"ad-specifications,file-optimization",find ad dimensions; find recommended memory size,True,False,other,specific-memory-size-guidance,campaign-control,no-user-request-to-solve,provide-specific-memory-size-guidance,provided-dimension-information; offered-file-optimization-advice,clear-specification-provision; general-optimization-advice,information-provision; optimization-advice,user-continued-conversation,bot-greeting; user-question; bot-response; user-follow-up; bot-response,bot-solved-problem; user-satisfied,system-functioning-perfectly; no-technical-issues,neutral,simple,3,medium
Aaron--2025-08-06 17:13:07.187000--WEBCHAT.csv,"account-spending-issue,campaign-id",resolve account spending issue,False,True,feature-not-supported,direct-campaign-diagnosis,campaign-control,bot lacks capability to diagnose spending issues directly,integrate diagnostic tools for campaign spending issues,campaign-id-reception; basic-guidance,campaign-id-reception,campaign-id-reception; basic-guidance,conversation-ended-with-referral,greeting; problem-statement; information-gathering; referral,bot-cannot-diagnose-issue,system-functioning-perfectly,neutral,moderate,4,high
